"Text","Location","OBS","Via"
"El Corte Inglés","Preciados, 1 Madrid","","CALLE DE PRECIADOS"
"El Corte Inglés","Preciados, 2 Madrid","","CALLE DE PRECIADOS"
"El Corte Inglés","Preciados, 3 Madrid","","CALLE DE PRECIADOS"
"El Corte Inglés","Preciados, 9 Madrid","","CALLE DE PRECIADOS"
"El Corte Inglés","Maestro Victoria, 6 Madrid","","CALLE DEL MAESTRO VICTORIA"
"El Corte Inglés","Plaza del Callao, 2 Madrid","","PLAZA DEL CALLAO"
"El Corte Inglés","Raimundo Fernández Villaverde, 65 Madrid","","CALLE DE RAIMUNDO FERNÁNDEZ VILLAVERDE"
"El Corte Inglés","Pº de la Castellana, 85 Madrid","","PASEO DE LA CASTELLANA"
"El Corte Inglés","Princesa, 41  Madrid","","CALLE DE LA PRINCESA"
"El Corte Inglés","Princesa, 47  Madrid","","CALLE DE LA PRINCESA"
"El Corte Inglés","Princesa, 56  Madrid","","CALLE DE LA PRINCESA"
"El Corte Inglés","Goya, 76  Madrid","","CALLE DE GOYA"
"El Corte Inglés","Goya, 85 Madrid","","CALLE DE GOYA"
"El Corte Inglés","Serrano, 47 Madrid","","CALLE DE SERRANO"
"El Corte Inglés","Serrano, 52 Madrid","","CALLE DE SERRANO"
"El Corte Inglés","Ginzo de Limia s/n Madrid","Centro Comercial en MADRID-2 La Vaguada","CALLE DE GINZO DE LIMIA"
"El Corte Inglés","Arapiles, 10-12 Madrid","","CALLE DE ARAPILES"
"El Corte Inglés","Magallanes, 3 Madrid","","CALLE DE MAGALLANES"
"El Corte Inglés","Retama, 8 Madrid","Centro Comercial Méndez Alvaro","CALLE DE LA RETAMA"
"El Corte Inglés","Avda. de los Andes, 50 Madrid","Centro Comercial Campo de las Naciones","AVDA DE LOS ANDES"
"El Corte Inglés","Margarita de Parma, 1 Madrid","Centro Comercial Sanchinarro","CALLE DE MARGARITA DE PARMA"
"El Corte Inglés","Avda. de la Plaza de Toros, s/n Madrid","Centro Comercial Vista Alegre","AVDA DE LA PLAZA DE TOROS"
"El Corte Inglés","Goya, 89 Madrid","","CALLE DE GOYA"
"El Corte Inglés","Serrano, 70 Madrid","","CALLE DE SERRANO"
"El Corte Inglés","Abada, 5 Madrid","","CALLE DE ABADA"
"Zara","CALLE PRECIADOS, 18 Madrid","","CALLE DE PRECIADOS"
"Zara","CALLE CARRETAS, 6 Madrid","","CALLE DE CARRETAS"
"Zara","CALLE GRAN VIA, 34 Madrid","","CALLE NA GRAN VÍA"
"Zara","PASEO DE LA FLORIDA, S/N Madrid","Centro Comercial Principe Pío","PASEO DE LA FLORIDA"
"Zara","CALLE FUENCARRAL, 126 Madrid","","CALLE DE FUENCARRAL"
"Zara","CALLE SERRANO, 48 Madrid","","CALLE DE SERRANO"
"Zara","CALLE PRINCESA, 58 Madrid","","CALLE DE LA PRINCESA"
"Zara","CALLE GOYA, 47 Madrid","","CALLE DE GOYA"
"Zara","CALLE VELAZQUEZ, 49 Madrid","","CALLE DE VELÁZQUEZ"
"Zara","CALLE CONDE DE PEÑALVER, 16 Madrid","","CALLE DEL CONDE DE PEÑALVER"
"Zara","CALLE ORENSE, 14 Madrid","","CALLE DE ORENSE"
"Zara","CALLE LA LAGUNA, 87 Madrid","","CALLE DE LA LAGUNA"
"Zara","AVENIDA PABLO NERUDA, 91 Madrid","","AVDA DE PABLO NERUDA"
"Zara","CALLE ALCALA, 376 Madrid","","CALLE DE ALCALÁ"
"Zara","AVENIDA DE LOS POBLADOS, 58 Madrid","","AVDA DE LOS POBLADOS"
"Zara","CALLE CALDERILLA, 1 Madrid","Centro Comercial Islazul","CALLE DE LA CALDERILLA"
"Zara","AVENIDA MONFORTE DE LEMOS, 36 Madrid","","AVDA DE MONFORTE DE LEMOS"
"Zara","CALLE SILVANO, 77 Madrid","","CALLE DE SILVANO"
"Zara","CALLE GRAN VIA DE HORTALEZA, S/N Madrid","Centro comercial gran vía de hortaleza","AVDA DE LA GRAN VÍA DE HORTALEZA"
"Zara","CALLE ARACNE, S/N Madrid","Centro Comercial Plenilunio","CALLE DE ARACNE"
"Zara","CALLE ADOLFO BIOY CASARES, 2 Madrid","Centro Comercial La Gavia","CALLE DE ADOLFO BIOY CASARES"
