"code","description"
"es_auto","Auto"
"es_barsandrestaurants","Bars and restaurants"
"es_contents","Books and press"
"es_fashion","Fashion"
"es_food","Food"
"es_health","Health"
"es_home","Home"
"es_hotelservices","Accomodation"
"es_hyper","Hypermarkets"
"es_leisure","Leisure"
"es_otherservices","Other services"
"es_propertyservices","Real state"
"es_sportsandtoys","Sports and toys"
"es_tech","Technology"
"es_transportation","Transport"
"es_travel","Travel"
"es_wellnessandbeauty","Wellness and beauty"
"all","All categories"
